px_GeV,py_GeV,pz_GeV,p_mag_GeV,KE_GeV,E_GeV
0.0,0.0,0.252205283852664,0.252205283852664,0.14867866019324846,0.28824866019324846
0.0,0.0,0.24721576490295186,0.24721576490295186,0.1443233238323007,0.2838933238323007
0.0,0.0,0.25204544323448635,0.25204544323448635,0.14853881686485867,0.2881088168648587
0.0,0.0,0.17218730592481718,0.17218730592481718,0.08207894139527622,0.22164894139527622
0.0,0.0,0.4237240326017694,0.4237240326017694,0.306548639718523,0.446118639718523
0.0,0.0,0.12766655760355392,0.12766655760355392,0.04958214730565855,0.18915214730565855
0.0,0.0,0.16015187980686754,0.16015187980686754,0.07286448285453412,0.21243448285453412
0.0,0.0,0.6087072373222548,0.6087072373222548,0.4849332311113306,0.6245032311113305
0.0,0.0,0.21562924740342493,0.21562924740342493,0.11728746482391247,0.2568574648239125
0.0,0.0,0.2518447991537311,0.2518447991537311,0.14836330436193582,0.2879333043619358
0.0,0.0,0.2946360117125719,0.2946360117125719,0.18645172365946847,0.32602172365946847
0.0,0.0,0.11592717202279607,0.11592717202279607,0.04186564730560241,0.1814356473056024
0.0,0.0,0.25078593858227666,0.25078593858227666,0.1474376164330721,0.2870076164330721
0.0,0.0,0.17231559236208896,0.17231559236208896,0.08217861503760876,0.22174861503760876
0.0,0.0,0.19969265622406904,0.19969265622406904,0.10406280126006068,0.24363280126006068
0.0,0.0,0.3981657922245485,0.3981657922245485,0.2823491664262271,0.4219191664262271
0.0,0.0,0.21601416814392083,0.21601416814392083,0.11761068694773738,0.2571806869477374
0.0,0.0,0.2665195685318212,0.2665195685318212,0.16128289646335156,0.30085289646335156
0.0,0.0,0.3340206244443542,0.3340206244443542,0.2224376828662568,0.3620076828662568
0.0,0.0,0.20801851498867402,0.20801851498867402,0.11093247000397663,0.25050247000397663
0.0,0.0,0.21721155624490301,0.21721155624490301,0.1186172287049316,0.2581872287049316
0.0,0.0,0.4042146213620335,0.4042146213620335,0.28806213750003884,0.4276321375000388
0.0,0.0,0.1780646978903654,0.1780646978903654,0.08667504753648664,0.22624504753648664
0.0,0.0,0.42121908817304,0.42121908817304,0.304170132443897,0.443740132443897
0.0,0.0,0.23129935003252572,0.23129935003252572,0.13057657914818924,0.27014657914818924
0.0,0.0,0.1938803708333366,0.1938803708333366,0.09932199043599624,0.23889199043599624
0.0,0.0,0.1906082583781109,0.1906082583781109,0.09667413868271249,0.2362441386827125
0.0,0.0,0.19601542016446566,0.19601542016446566,0.10105799056271905,0.24062799056271905
0.0,0.0,0.2791674499747774,0.2791674499747774,0.1725425598648985,0.3121125598648985
0.0,0.0,0.3283355571575608,0.3283355571575608,0.21719886494475085,0.35676886494475085
0.0,0.0,0.18168651970345354,0.18168651970345354,0.08953647381065732,0.22910647381065732
0.0,0.0,0.22216600149189364,0.22216600149189364,0.12279904756258139,0.2623690475625814
0.0,0.0,0.2502239778248731,0.2502239778248731,0.14694670802677914,0.28651670802677914
0.0,0.0,0.21511687915103966,0.21511687915103966,0.11685748798770193,0.25642748798770193
0.0,0.0,0.2245772718016324,0.2245772718016324,0.1248439480244268,0.2644139480244268
0.0,0.0,0.2447155411901424,0.2447155411901424,0.14214879773984604,0.28171879773984604
0.0,0.0,0.2320198934331764,0.2320198934331764,0.1311937639137529,0.2707637639137529
0.0,0.0,0.23630793645324769,0.23630793645324769,0.1348771273866647,0.2744471273866647
0.0,0.0,0.18412098241651859,0.18412098241651859,0.09147181670430127,0.23104181670430127
0.0,0.0,0.27452779764152574,0.27452779764152574,0.16839963580506848,0.3079696358050685
0.0,0.0,0.2203606705755248,0.2203606705755248,0.12127211706795923,0.26084211706795923
0.0,0.0,0.23383901057242804,0.23383901057242804,0.1327541960705881,0.2723241960705881
